"","Age.dependency.ratio....of.working.age.population.","Age.dependency.ratio..old....of.working.age.population.","Age.dependency.ratio..young....of.working.age.population.","Bank.capital.to.assets.ratio....","Computer..communications.and.other.services....of.commercial.service.exports.","Computer..communications.and.other.services....of.commercial.service.imports.","Consumer.price.index..2010...100.","Domestic.credit.to.private.sector....of.GDP.","Employment.to.population.ratio..15...female......national.estimate.","Employment.to.population.ratio..15...male......national.estimate.","GDP..constant.2010.US..","GDP.growth..annual...","GDP.per.capita..constant.2010.US..","GNI..constant.2010.US..","GNI.growth..annual...","GNI.per.capita..constant.2010.US..","Human.capital.index..HCI...scale.0.1.","Labor.force..total","Population.density..people.per.sq..km.of.land.area.","Population.growth..annual...","Population..female","Population..male","Population..total","Ratio.of.female.to.male.labor.force.participation.rate......national.estimate.","Total.reserves..includes.gold..current.US..","Unemployment..total....of.total.labor.force...modeled.ILO.estimate.","Urban.population","Women.Business.and.the.Law.Index.Score..scale.1.100.","y","x"
"GDP.growth..annual...",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GDP.growth..annual...","GDP.growth..annual..."
"GDP.per.capita..constant.2010.US..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GDP.per.capita..constant.2010.US..","GDP.per.capita..constant.2010.US.."
"GNI..constant.2010.US..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GNI..constant.2010.US..","GNI..constant.2010.US.."
"GNI.growth..annual...",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GNI.growth..annual...","GNI.growth..annual..."
"GNI.per.capita..constant.2010.US..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GNI.per.capita..constant.2010.US..","GNI.per.capita..constant.2010.US.."
"Human.capital.index..HCI...scale.0.1.",-0.36,0.79,-0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-0.11,0.23,-0.7,-0.17,-0.17,-0.17,NA,NA,-0.18,-0.09,0.69,"Human.capital.index..HCI...scale.0.1.","Human.capital.index..HCI...scale.0.1."
"Labor.force..total",-0.14,-0.1,-0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11,1,-0.02,-0.08,0.97,0.97,0.97,NA,NA,-0.09,0.99,-0.13,"Labor.force..total","Labor.force..total"
"Population.density..people.per.sq..km.of.land.area.",-0.22,-0.01,-0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23,-0.02,1,-0.2,-0.02,-0.02,-0.02,NA,NA,-0.12,-0.04,-0.04,"Population.density..people.per.sq..km.of.land.area.","Population.density..people.per.sq..km.of.land.area."
"Population.growth..annual...",0.51,-0.76,0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.7,-0.08,-0.2,1,-0.04,-0.03,-0.03,NA,NA,0,-0.1,-0.48,"Population.growth..annual...","Population.growth..annual..."
"Population..female",-0.11,-0.14,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.17,0.97,-0.02,-0.04,1,1,1,NA,NA,-0.07,0.95,-0.16,"Population..female","Population..female"
"Population..male",-0.11,-0.15,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.17,0.97,-0.02,-0.03,1,1,1,NA,NA,-0.07,0.95,-0.16,"Population..male","Population..male"
"Population..total",-0.11,-0.14,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.17,0.97,-0.02,-0.03,1,1,1,NA,NA,-0.07,0.95,-0.16,"Population..total","Population..total"
"Ratio.of.female.to.male.labor.force.participation.rate......national.estimate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"Ratio.of.female.to.male.labor.force.participation.rate......national.estimate.","Ratio.of.female.to.male.labor.force.participation.rate......national.estimate."
"Total.reserves..includes.gold..current.US..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"Total.reserves..includes.gold..current.US..","Total.reserves..includes.gold..current.US.."
"Unemployment..total....of.total.labor.force...modeled.ILO.estimate.",-0.07,-0.04,-0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.18,-0.09,-0.12,0,-0.07,-0.07,-0.07,NA,NA,1,-0.04,0,"Unemployment..total....of.total.labor.force...modeled.ILO.estimate.","Unemployment..total....of.total.labor.force...modeled.ILO.estimate."
"Urban.population",-0.14,-0.07,-0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.09,0.99,-0.04,-0.1,0.95,0.95,0.95,NA,NA,-0.04,1,-0.11,"Urban.population","Urban.population"
"Women.Business.and.the.Law.Index.Score..scale.1.100.",-0.15,0.66,-0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69,-0.13,-0.04,-0.48,-0.16,-0.16,-0.16,NA,NA,0,-0.11,1,"Women.Business.and.the.Law.Index.Score..scale.1.100.","Women.Business.and.the.Law.Index.Score..scale.1.100."
